name,quantity
1 Month Discord Nitro Subscription,2
$11 RP Gift Card (1380 Riot Points),2
$10 Steam Gift Card,2
$10 Apple/Google Play Gift Card,2
Instagram Mug Swag Bundle*,2
Meta Shirt Swag Bundle*,2
Microsoft Black Bottle + Xbox Controller Pin*,1
Microsoft White Tumbler + Xbox Pin*,1
Brick*,1
$30 X-Camp Discount Code,4
$100 DigitalOcean Credit,4
